视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1eY4y1S7KR?from=search,张雪峰：为什么二本三本的学生考研这么厉害？,161677,60,2023-03-27 13:45:14,2407,62,877,272,"一起上岸吧,考研,知识,校园学习,大学,经验分享,自信,面对,张雪峰,学习心得,一起上岸吧！"
https://www.bilibili.com/video/BV1Jt4y157ft?from=search,大学生考研态度的进化,1265781,819,2022-07-19 17:41:25,7.9万,6023,7316,1.2万,"搞笑研究所,考研,搞笑,生活,搞笑,大学,研究生,搞笑研究所6.0,大四,大学生,大三"
https://www.bilibili.com/video/BV1ZZ4y147BV?from=search,你知道现在考研人有多难吗！？,1655789,3151,2022-06-03 14:05:31,8.2万,8247,1.5万,6773,"搞笑研究所,考研,考试,搞笑,生活,搞笑,学习,校园,幽默,大学,原创,吐槽,搞笑研究所5.0"
https://www.bilibili.com/video/BV1Qo4y1w7aP?from=search,十年后你儿子问你什么是23考研,54183,20,2023-05-03 16:08:26,2122,521,754,319,"FAKELOVE,是老师，也是UP主！,考研,知识,校园学习,大学,十年后你儿子问你,经验分享,上岸,23考研"
https://www.bilibili.com/video/BV1eq4y1v7od?from=search,【考研】复试问题都不会能考多少分？揭秘打分细则,200454,233,2022-03-24 13:28:37,5537,1378,2437,1764,"考研复试上岸指南,面试,考研,考试,知识,校园学习,校园,经验分享,考研复试,复试,考研经验,调剂,学习帮帮团"
https://www.bilibili.com/video/BV1vY411k7RD?from=search,【张雪峰】别骂我了，我已经不劝大家考研了,476809,425,2023-02-23 20:29:01,1.6万,252,1009,187,"高考,考研,知识,校园学习,励志,大学,专业,学习,社会,张雪峰"
https://www.bilibili.com/video/BV163411S7e8?from=search,中国人考研真相，为啥都要卷学历？,87373,238,2023-01-05 18:23:42,3051,876,1546,429,"我们都爱搞学习,考研,知识,校园学习,大学,我们都爱搞学习·第四期,学历,经验分享,内卷,考研上岸,23考研"
https://www.bilibili.com/video/BV1r3411H7Ss?from=search,初试402没学上 复试老师翻白眼 考研能踩的坑都替大家踩遍了😅,1092365,4150,2022-04-08 08:00:00,3.6万,8323,1.9万,3164,"考研复试感想分享,考研,考试,知识,校园学习,学习,踩雷,经验分享,复试,调剂,学习心得,考研择校,我的校园生活"
https://www.bilibili.com/video/BV1NQ4y1T7WZ?from=search,郑强教授如何看待二本三本的学生考研？,862396,1783,2020-04-15 16:57:46,2.3万,4458,1.4万,3655,"考研,生活,日常,研究生,教育,大学生"
https://www.bilibili.com/video/BV1FK411z79K?from=search,张宇的这段话，从考研到读研一直激励着我，也希望考前的你能看一看,187827,79,2022-12-16 20:30:00,1.1万,2739,8884,1068,"为考研生加油,考研,考试,知识,校园学习,年终校园大赏,大学,张宇,激励,考研数学,读研,校园学习,23考研"
https://www.bilibili.com/video/BV1R8411o7ka?from=search,大四，考公考研失败，工作没找到，在宿舍享受最后大学时光,529049,311,2023-06-06 16:15:00,2.9万,2.2万,2417,641,"2023毕业季,生活,日常"
